사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2025-12,2호선,0222,강남,187 ,7 ,8950 ,12460 ,18530 ,55582 ,41283 ,153422 ,63337 ,329702 ,56770 ,339967 ,61433 ,168779 ,81411 ,119805 ,98465 ,114114 ,116385 ,130466 ,130753 ,120542 ,161047 ,118789 ,192043 ,130319 ,275319 ,171286 ,333048 ,203795 ,233391 ,117343 ,183062 ,68336 ,201459 ,57109 ,179175 ,48908 ,90106 ,26344 ,16315 ,8824 ,130 ,801 ,1 ,43 ,0 ,0 
2025-12,2호선,0223,교대(법원.검찰청),19 ,1 ,2620 ,6579 ,10648 ,26170 ,24907 ,52784 ,36462 ,159915 ,31168 ,135346 ,28993 ,74633 ,35742 ,68093 ,38075 ,62204 ,48123 ,63804 ,57666 ,56248 ,61320 ,53678 ,67602 ,59729 ,105559 ,80809 ,135474 ,81189 ,64807 ,44171 ,58170 ,28856 ,57914 ,26695 ,42116 ,24296 ,19083 ,13429 ,3945 ,4538 ,37 ,163 ,0 ,17 ,0 ,0 
2025-12,2호선,0224,서초,5 ,0 ,1823 ,5861 ,9168 ,25864 ,17852 ,54064 ,28252 ,118965 ,30219 ,92023 ,23473 ,46460 ,35087 ,41254 ,30330 ,31988 ,41062 ,32084 ,42590 ,30128 ,51529 ,25835 ,57913 ,29516 ,82056 ,34639 ,95052 ,31725 ,44352 ,21936 ,34868 ,13997 ,36620 ,13498 ,20210 ,12444 ,7070 ,7118 ,1914 ,1921 ,22 ,158 ,2 ,12 ,0 ,0 
2025-12,2호선,0225,방배,0 ,0 ,2660 ,3483 ,8655 ,13578 ,21366 ,28678 ,30681 ,72210 ,26596 ,56420 ,21843 ,30657 ,24284 ,27499 ,25400 ,27846 ,29728 ,27850 ,32435 ,27770 ,36249 ,26585 ,42683 ,28284 ,53786 ,34710 ,60413 ,37626 ,29632 ,25974 ,25768 ,18737 ,24432 ,17677 ,18968 ,16614 ,7007 ,10179 ,1640 ,3253 ,31 ,142 ,0 ,4 ,0 ,0 
2025-12,2호선,0226,사당,112 ,7 ,13676 ,4085 ,30302 ,31288 ,80084 ,45345 ,105862 ,71038 ,77666 ,56272 ,56774 ,51255 ,54721 ,73309 ,59672 ,72261 ,67280 ,63098 ,77714 ,65755 ,80602 ,80203 ,83087 ,111253 ,94951 ,158151 ,108158 ,203439 ,82638 ,130305 ,83386 ,82299 ,93441 ,77084 ,88373 ,72393 ,49651 ,43923 ,8697 ,14523 ,147 ,2001 ,5 ,125 ,0 ,0 
2025-12,2호선,0227,낙성대(강감찬),66 ,3 ,12224 ,2355 ,27600 ,9757 ,84096 ,19874 ,129036 ,39899 ,84481 ,34901 ,49686 ,29144 ,43257 ,27054 ,45153 ,30656 ,44650 ,33585 ,41643 ,35700 ,41572 ,42407 ,46241 ,50849 ,50232 ,66815 ,54757 ,101385 ,30952 ,86890 ,25257 ,58478 ,22476 ,58354 ,17223 ,56422 ,8960 ,35501 ,1768 ,11368 ,40 ,873 ,0 ,26 ,0 ,0 
2025-12,2호선,0228,서울대입구(관악구청),5149 ,30 ,27641 ,2758 ,44848 ,13732 ,125936 ,27391 ,179017 ,69759 ,123839 ,65222 ,76544 ,53389 ,67667 ,49712 ,75105 ,54877 ,78366 ,60336 ,71350 ,62341 ,74896 ,73187 ,82264 ,84381 ,91245 ,111915 ,97482 ,167490 ,57711 ,142981 ,49934 ,91419 ,48184 ,88856 ,42531 ,88644 ,23019 ,53076 ,4753 ,21153 ,65 ,3687 ,0 ,137 ,0 ,0 
2025-12,2호선,0229,봉천,95 ,12 ,14288 ,1533 ,29544 ,6769 ,85647 ,12670 ,127055 ,28657 ,78490 ,22781 ,45789 ,21207 ,38150 ,24790 ,41394 ,27602 ,39631 ,29601 ,35979 ,33111 ,34339 ,42442 ,37472 ,49725 ,38123 ,62702 ,36282 ,90879 ,22098 ,77667 ,18067 ,49530 ,15865 ,47367 ,12081 ,45409 ,5494 ,26214 ,1141 ,9703 ,26 ,753 ,0 ,4 ,0 ,0 
2025-12,2호선,0230,신림,226 ,12 ,36228 ,4146 ,69857 ,17674 ,185659 ,28451 ,279137 ,45934 ,172801 ,44301 ,99642 ,44421 ,85266 ,50602 ,90086 ,56819 ,86031 ,64252 ,79540 ,71074 ,79500 ,90550 ,85062 ,111723 ,85338 ,144819 ,85159 ,226129 ,58494 ,200565 ,49356 ,136145 ,46038 ,130370 ,39866 ,125602 ,22928 ,81301 ,5342 ,28024 ,95 ,2260 ,0 ,29 ,0 ,0 
2025-12,2호선,0231,신대방,289 ,1 ,22724 ,1967 ,34230 ,9487 ,90997 ,14202 ,131946 ,24626 ,85143 ,17919 ,48577 ,18194 ,38612 ,20519 ,40251 ,24256 ,38277 ,27953 ,33263 ,31572 ,33616 ,41721 ,35269 ,48703 ,35953 ,63343 ,31856 ,90263 ,20517 ,78985 ,15342 ,56458 ,12674 ,59810 ,10128 ,57485 ,4983 ,34007 ,1016 ,11115 ,30 ,871 ,2 ,12 ,0 ,0 
2025-12,2호선,0232,구로디지털단지,378 ,35 ,37881 ,5070 ,53135 ,21347 ,141800 ,82453 ,193061 ,226567 ,120058 ,145554 ,76276 ,63485 ,69224 ,51407 ,78147 ,58073 ,77399 ,71278 ,70760 ,67170 ,81365 ,75410 ,97233 ,91064 ,145830 ,121840 ,208003 ,165969 ,103305 ,133262 ,67135 ,91636 ,55850 ,92485 ,43250 ,86660 ,20541 ,53943 ,4254 ,17671 ,83 ,1729 ,2 ,53 ,0 ,0 
2025-12,2호선,0233,대림(구로구청),740 ,9 ,32810 ,3056 ,30555 ,9709 ,67604 ,23570 ,100204 ,53623 ,67300 ,33843 ,43142 ,34921 ,36955 ,39492 ,39724 ,37884 ,39299 ,37022 ,37697 ,37048 ,40075 ,46448 ,43339 ,53711 ,48430 ,65684 ,49786 ,67467 ,26149 ,52194 ,20018 ,42213 ,14993 ,52336 ,11245 ,50267 ,5789 ,25374 ,1038 ,7362 ,40 ,683 ,0 ,28 ,0 ,0 
2025-12,2호선,0234,신도림,4549 ,25 ,36531 ,5145 ,56286 ,18726 ,141073 ,42265 ,151576 ,106898 ,94640 ,73906 ,69503 ,59001 ,67550 ,62138 ,76570 ,66093 ,78296 ,73042 ,77932 ,71230 ,83424 ,82056 ,93803 ,95809 ,116244 ,121752 ,121342 ,168981 ,70053 ,119237 ,58915 ,77508 ,57880 ,76743 ,54377 ,74729 ,23614 ,55235 ,3165 ,25156 ,147 ,3946 ,4 ,103 ,0 ,0 
2025-12,2호선,0235,문래,40 ,1 ,4280 ,3151 ,15081 ,12132 ,43872 ,41781 ,52546 ,139609 ,29936 ,66601 ,23145 ,27572 ,22753 ,25988 ,27025 ,28880 ,28522 ,31868 ,30168 ,30810 ,33978 ,33067 ,43604 ,39267 ,73732 ,50785 ,112529 ,68428 ,45157 ,45495 ,34022 ,26358 ,36516 ,22839 ,32275 ,20400 ,16107 ,13038 ,3099 ,4848 ,44 ,345 ,0 ,0 ,0 ,0 
2025-12,2호선,0236,영등포구청,40 ,0 ,5293 ,3641 ,13195 ,14798 ,40728 ,42330 ,53848 ,131914 ,33846 ,59640 ,25921 ,32470 ,28188 ,29172 ,31123 ,30536 ,33648 ,33336 ,35251 ,31907 ,39483 ,32845 ,47297 ,37382 ,68539 ,47454 ,107777 ,64145 ,42749 ,43083 ,33476 ,27353 ,31097 ,24695 ,23538 ,22642 ,11414 ,15456 ,2131 ,6082 ,44 ,646 ,0 ,0 ,0 ,0 
